epoch,loss,accuracy,lambda,srpq
0,0.4915203904206825,0.8432648973659171,0.09977811868416271,0.6138373262906596
1,0.3745693246436271,0.9604406608124046,0.1418228059511452,0.6498996323266365
2,0.36465701608005535,0.9667835086260748,0.26040505162615535,0.6777074682196791
3,0.364944850531824,0.9646970455981996,3.6283067690022714,0.7173597059345651
