w_value,epoch,iter,loss0,reg,loss,acc,srpq
0.001,26,3,0.079430,0.533236,0.612665,0.961012,5.867035e-01
0.001,27,1,0.074601,0.532939,0.607540,0.968018,5.868776e-01
0.001,27,2,0.076132,0.532222,0.608354,0.965820,5.872987e-01
0.001,27,3,0.076653,0.532112,0.608765,0.965179,5.873629e-01
0.001,28,1,0.073908,0.531673,0.605581,0.968262,5.876210e-01
0.001,28,2,0.073854,0.531237,0.605091,0.971680,5.878771e-01
0.001,28,3,0.079063,0.531226,0.610289,0.958631,5.878836e-01
0.001,29,1,0.074395,0.530377,0.604772,0.968750,5.883830e-01
0.001,29,2,0.075202,0.530798,0.606000,0.966553,5.881354e-01
0.001,29,3,0.077303,0.529707,0.607009,0.963988,5.887775e-01
0.001,30,1,0.076830,0.529142,0.605972,0.966553,5.891105e-01
0.001,30,2,0.074608,0.529588,0.604196,0.966064,5.888473e-01
0.001,30,3,0.073678,0.529122,0.602800,0.969048,5.891222e-01
0.002,1,1,0.096158,0.527538,0.623696,0.973145,5.900562e-01
0.002,1,2,0.103747,0.527476,0.631223,0.963379,5.900925e-01
0.002,1,3,0.098174,0.526707,0.624881,0.966071,5.905462e-01
0.002,2,1,0.100920,0.526087,0.627007,0.961426,5.909128e-01
0.002,2,2,0.097221,0.525939,0.623159,0.969482,5.910003e-01
0.002,2,3,0.096904,0.525465,0.622369,0.966369,5.912806e-01
0.002,3,1,0.094992,0.524619,0.619611,0.967773,5.917810e-01
0.002,3,2,0.098579,0.524397,0.622976,0.961914,5.919121e-01
0.002,3,3,0.095767,0.524301,0.620068,0.969048,5.919692e-01
0.002,4,1,0.095376,0.523405,0.618781,0.966309,5.924996e-01
0.002,4,2,0.096917,0.523067,0.619984,0.965332,5.926999e-01
0.002,4,3,0.093587,0.522320,0.615907,0.967560,5.931427e-01
0.002,5,1,0.093038,0.522028,0.615066,0.971924,5.933163e-01
0.002,5,2,0.095106,0.521480,0.616586,0.966797,5.936412e-01
0.002,5,3,0.096358,0.520850,0.617208,0.963095,5.940152e-01
0.002,6,1,0.094875,0.520747,0.615621,0.966064,5.940769e-01
0.002,6,2,0.093249,0.520030,0.613279,0.965332,5.945030e-01
0.002,6,3,0.091052,0.519584,0.610637,0.971131,5.947677e-01
0.002,7,1,0.091678,0.519164,0.610841,0.965088,5.950180e-01
0.002,7,2,0.092858,0.518934,0.611792,0.968994,5.951546e-01
0.002,7,3,0.091554,0.518338,0.609891,0.972619,5.955095e-01
0.002,8,1,0.093227,0.517932,0.611159,0.966309,5.957512e-01
0.002,8,2,0.092028,0.517637,0.609665,0.968994,5.959269e-01
0.002,8,3,0.089725,0.516621,0.606345,0.971726,5.965331e-01
0.002,9,1,0.089314,0.516165,0.605478,0.970215,5.968052e-01
0.002,9,2,0.090116,0.516047,0.606163,0.968750,5.968754e-01
0.002,9,3,0.090872,0.515722,0.606594,0.964286,5.970693e-01
0.002,10,1,0.089068,0.514701,0.603769,0.969238,5.976793e-01
0.002,10,2,0.092461,0.514388,0.606849,0.964600,5.978663e-01
0.002,10,3,0.087611,0.514406,0.602017,0.970833,5.978557e-01
0.002,11,1,0.089637,0.513758,0.603394,0.966797,5.982434e-01
0.002,11,2,0.089256,0.512968,0.602224,0.968262,5.987158e-01
0.002,11,3,0.086909,0.512182,0.599091,0.969940,5.991866e-01
0.002,12,1,0.089673,0.512247,0.601920,0.966553,5.991478e-01
0.002,12,2,0.084300,0.511026,0.595325,0.971680,5.998800e-01
0.002,12,3,0.088608,0.511358,0.599966,0.967857,5.996807e-01
0.002,13,1,0.085834,0.510710,0.596544,0.969727,6.000692e-01
0.002,13,2,0.087019,0.509703,0.596722,0.968018,6.006740e-01
0.002,13,3,0.090292,0.509801,0.600093,0.965179,6.006149e-01
0.002,14,1,0.086780,0.509547,0.596327,0.967529,6.007677e-01
0.002,14,2,0.087279,0.508443,0.595722,0.966797,6.014313e-01
0.002,14,3,0.085793,0.507710,0.593502,0.969940,6.018725e-01
0.002,15,1,0.086215,0.507366,0.593580,0.968018,6.020795e-01
0.002,15,2,0.084366,0.507289,0.591655,0.969727,6.021260e-01
0.002,15,3,0.085637,0.506761,0.592398,0.969643,6.024437e-01
0.002,16,1,0.083754,0.506074,0.589828,0.972656,6.028576e-01
0.002,16,2,0.086138,0.505837,0.591975,0.968018,6.030004e-01
0.002,16,3,0.084844,0.505181,0.590025,0.968452,6.033962e-01
0.002,17,1,0.083349,0.504828,0.588178,0.972656,6.036092e-01
0.002,17,2,0.086445,0.504033,0.590478,0.967285,6.040897e-01
0.002,17,3,0.081786,0.504114,0.585901,0.970238,6.040403e-01
0.002,18,1,0.082604,0.503280,0.585884,0.971436,6.045445e-01
0.002,18,2,0.084835,0.503004,0.587839,0.967773,6.047112e-01
0.002,18,3,0.080540,0.502530,0.583069,0.969940,6.049984e-01
0.002,19,1,0.085161,0.502018,0.587178,0.964844,6.053081e-01
0.002,19,2,0.082416,0.501531,0.583947,0.971436,6.056026e-01
0.002,19,3,0.078989,0.501067,0.580057,0.973810,6.058836e-01
0.002,20,1,0.082767,0.500481,0.583249,0.967773,6.062387e-01
0.002,20,2,0.084167,0.500451,0.584618,0.968750,6.062571e-01
0.002,20,3,0.078465,0.499353,0.577819,0.973810,6.069230e-01
0.002,21,1,0.082893,0.499039,0.581932,0.966553,6.071140e-01
0.002,21,2,0.081606,0.498880,0.580486,0.970703,6.072104e-01
0.002,21,3,0.077981,0.498051,0.576032,0.974702,6.077139e-01
0.002,22,1,0.078394,0.497601,0.575996,0.973633,6.079873e-01
0.002,22,2,0.079750,0.497357,0.577107,0.970215,6.081359e-01
0.002,22,3,0.082958,0.496615,0.579573,0.965774,6.085875e-01
0.002,23,1,0.079237,0.496573,0.575809,0.971924,6.086131e-01
0.002,23,2,0.079491,0.495429,0.574920,0.969971,6.093094e-01
0.002,23,3,0.080731,0.495130,0.575861,0.971131,6.094919e-01
0.002,24,1,0.077963,0.494874,0.572838,0.971924,6.096474e-01
0.002,24,2,0.079899,0.494281,0.574180,0.971924,6.100093e-01
0.002,24,3,0.079351,0.493524,0.572875,0.967857,6.104711e-01
0.002,25,1,0.079880,0.492969,0.572849,0.969238,6.108105e-01
0.002,25,2,0.076056,0.492941,0.568997,0.978027,6.108274e-01
0.002,25,3,0.078958,0.492451,0.571409,0.966369,6.111270e-01
0.002,26,1,0.079091,0.492382,0.571473,0.970215,6.111687e-01
0.002,26,2,0.077803,0.490914,0.568717,0.970947,6.120665e-01
0.002,26,3,0.076624,0.490639,0.567262,0.971131,6.122352e-01
0.002,27,1,0.077452,0.490143,0.567595,0.971191,6.125386e-01
0.002,27,2,0.076893,0.490100,0.566993,0.969971,6.125650e-01
0.002,27,3,0.078657,0.489379,0.568036,0.970238,6.130070e-01
0.002,28,1,0.077726,0.489375,0.567101,0.970459,6.130093e-01
0.002,28,2,0.077571,0.488196,0.565767,0.968750,6.137328e-01
0.002,28,3,0.074913,0.487673,0.562585,0.973512,6.140539e-01
0.002,29,1,0.076429,0.487749,0.564178,0.971680,6.140069e-01
0.002,29,2,0.076785,0.486553,0.563337,0.971680,6.147418e-01
0.002,29,3,0.074906,0.486721,0.561627,0.971131,6.146383e-01
0.002,30,1,0.077165,0.486439,0.563604,0.971680,6.148120e-01
0.002,30,2,0.075919,0.485497,0.561416,0.969482,6.153916e-01
0.002,30,3,0.073330,0.484715,0.558045,0.977083,6.158730e-01
0.004,1,1,0.107322,0.483250,0.590573,0.973877,6.167754e-01
0.004,1,2,0.113575,0.482727,0.596302,0.968506,6.170980e-01
0.004,1,3,0.108159,0.482781,0.590940,0.969048,6.170649e-01
0.004,2,1,0.108953,0.482296,0.591249,0.968750,6.173642e-01
0.004,2,2,0.109369,0.481447,0.590816,0.968506,6.178884e-01
0.004,2,3,0.108660,0.481165,0.589825,0.973214,6.180627e-01
0.004,3,1,0.108763,0.481078,0.589840,0.965820,6.181169e-01
0.004,3,2,0.106271,0.480402,0.586673,0.971191,6.185344e-01
0.004,3,3,0.104131,0.479746,0.583877,0.974405,6.189405e-01
0.004,4,1,0.107628,0.479505,0.587133,0.969482,6.190897e-01
0.004,4,2,0.105102,0.479004,0.584106,0.973633,6.193998e-01
0.004,4,3,0.108743,0.479115,0.587858,0.966369,6.193314e-01
0.004,5,1,0.104714,0.478431,0.583145,0.972412,6.197550e-01
0.004,5,2,0.106154,0.477785,0.583939,0.968750,6.201558e-01
0.004,5,3,0.103156,0.477380,0.580536,0.971726,6.204068e-01
0.004,6,1,0.104946,0.476667,0.581614,0.970947,6.208490e-01
0.004,6,2,0.103470,0.476590,0.580060,0.969482,6.208971e-01
0.004,6,3,0.106373,0.476278,0.582650,0.968452,6.210910e-01
0.004,7,1,0.105678,0.475896,0.581573,0.966797,6.213282e-01
0.004,7,2,0.106572,0.475650,0.582222,0.964600,6.214807e-01
0.004,7,3,0.099191,0.473818,0.573009,0.976190,6.226203e-01
0.004,8,1,0.103350,0.474033,0.577383,0.966553,6.224867e-01
0.004,8,2,0.101340,0.473967,0.575307,0.973145,6.225275e-01
0.004,8,3,0.102274,0.473773,0.576047,0.968155,6.226486e-01
0.004,9,1,0.104228,0.473114,0.577342,0.967529,6.230591e-01
0.004,9,2,0.101314,0.472461,0.573774,0.973389,6.234662e-01
0.004,9,3,0.101545,0.472247,0.573793,0.971726,6.235993e-01
0.004,10,1,0.101363,0.471682,0.573045,0.971436,6.239517e-01
0.004,10,2,0.102758,0.471155,0.573913,0.968750,6.242810e-01
0.004,10,3,0.100205,0.470944,0.571150,0.972024,6.244124e-01
0.004,11,1,0.101647,0.470387,0.572035,0.968262,6.247601e-01
0.004,11,2,0.099495,0.469842,0.569337,0.970703,6.251009e-01
0.004,11,3,0.099078,0.469389,0.568467,0.972917,6.253845e-01
0.004,12,1,0.101107,0.469208,0.570316,0.967773,6.254972e-01
0.004,12,2,0.098883,0.468466,0.567349,0.971924,6.259617e-01
0.004,12,3,0.100232,0.467727,0.567959,0.969048,6.264244e-01
0.004,13,1,0.101271,0.467818,0.569089,0.966309,6.263677e-01
0.004,13,2,0.097873,0.467079,0.564951,0.973389,6.268308e-01
0.004,13,3,0.099407,0.466422,0.565829,0.967560,6.272427e-01
0.004,14,1,0.098374,0.466110,0.564484,0.970947,6.274383e-01
0.004,14,2,0.095827,0.465835,0.561663,0.973877,6.276107e-01
0.004,14,3,0.100284,0.465438,0.565722,0.965476,6.278600e-01
0.004,15,1,0.099547,0.465224,0.564771,0.968750,6.279946e-01
0.004,15,2,0.094417,0.464252,0.558669,0.975342,6.286048e-01
0.004,15,3,0.098398,0.463858,0.562256,0.969345,6.288526e-01
0.004,16,1,0.097635,0.463811,0.561445,0.973877,6.288827e-01
0.004,16,2,0.098281,0.463054,0.561335,0.969482,6.293586e-01
0.004,16,3,0.095565,0.462369,0.557934,0.970833,6.297900e-01
0.004,17,1,0.097660,0.461903,0.559563,0.972168,6.300833e-01
0.004,17,2,0.095464,0.462032,0.557496,0.970703,6.300020e-01
0.004,17,3,0.095715,0.461179,0.556894,0.971726,6.305398e-01
0.004,18,1,0.095126,0.461025,0.556151,0.971191,6.306368e-01
0.004,18,2,0.095927,0.460194,0.556121,0.968506,6.311612e-01
0.004,18,3,0.094384,0.459663,0.554047,0.972321,6.314965e-01
0.004,19,1,0.093281,0.459367,0.552648,0.969971,6.316832e-01
0.004,19,2,0.096597,0.458779,0.555376,0.968506,6.320546e-01
0.004,19,3,0.094724,0.458541,0.553266,0.971429,6.322052e-01
0.004,20,1,0.093731,0.457996,0.551727,0.971680,6.325500e-01
0.004,20,2,0.095804,0.457673,0.553477,0.968018,6.327545e-01
0.004,20,3,0.094169,0.456748,0.550917,0.971131,6.333398e-01
0.004,21,1,0.094541,0.456482,0.551023,0.968750,6.335084e-01
0.004,21,2,0.092950,0.456156,0.549106,0.972168,6.337152e-01
0.004,21,3,0.093253,0.455726,0.548979,0.970536,6.339874e-01
0.004,22,1,0.092656,0.454903,0.547559,0.971436,6.345093e-01
0.004,22,2,0.094055,0.455008,0.549064,0.972168,6.344427e-01
0.004,22,3,0.090728,0.454386,0.545114,0.972619,6.348379e-01
0.004,23,1,0.093545,0.453443,0.546988,0.969482,6.354365e-01
0.004,23,2,0.092092,0.453619,0.545711,0.973145,6.353250e-01
0.004,23,3,0.090983,0.453165,0.544148,0.972321,6.356135e-01
0.004,24,1,0.091402,0.452364,0.543766,0.972656,6.361228e-01
0.004,24,2,0.092514,0.452018,0.544532,0.970947,6.363428e-01
0.004,24,3,0.091900,0.451688,0.543588,0.970536,6.365530e-01
0.004,25,1,0.091371,0.451125,0.542496,0.973389,6.369112e-01
0.004,25,2,0.090644,0.450707,0.541352,0.973389,6.371772e-01
0.004,25,3,0.091109,0.450007,0.541116,0.969048,6.376237e-01
0.004,26,1,0.090354,0.449780,0.540133,0.972900,6.377687e-01
0.004,26,2,0.090934,0.449262,0.540195,0.970703,6.380992e-01
0.004,26,3,0.089048,0.448591,0.537640,0.972321,6.385271e-01
0.004,27,1,0.089314,0.448587,0.537901,0.971924,6.385298e-01
0.004,27,2,0.091504,0.447532,0.539036,0.967285,6.392037e-01
0.004,27,3,0.088359,0.447314,0.535673,0.976190,6.393433e-01
0.004,28,1,0.090538,0.447127,0.537665,0.969482,6.394625e-01
0.004,28,2,0.090132,0.446614,0.536746,0.969482,6.397907e-01
0.004,28,3,0.087484,0.445396,0.532880,0.975893,6.405708e-01
0.004,29,1,0.091132,0.445790,0.536922,0.969482,6.403180e-01
0.004,29,2,0.087341,0.444707,0.532047,0.971680,6.410123e-01
0.004,29,3,0.087574,0.444598,0.532172,0.972619,6.410818e-01
0.004,30,1,0.089653,0.443982,0.533636,0.970703,6.414768e-01
0.004,30,2,0.086512,0.443907,0.530420,0.970947,6.415249e-01
0.004,30,3,0.087311,0.443064,0.530375,0.973810,6.420664e-01
0.008,1,1,0.131505,0.440526,0.572031,0.969482,6.436977e-01
0.008,1,2,0.133414,0.439392,0.572806,0.967041,6.444279e-01
0.008,1,3,0.130034,0.439440,0.569474,0.968750,6.443974e-01
0.008,2,1,0.130569,0.438370,0.568939,0.968506,6.450869e-01
0.008,2,2,0.129848,0.438421,0.568269,0.969238,6.450542e-01
0.008,2,3,0.130002,0.437811,0.567813,0.965476,6.454477e-01
0.008,3,1,0.127204,0.437180,0.564384,0.970459,6.458550e-01
0.008,3,2,0.129625,0.436378,0.566003,0.966064,6.463736e-01
0.008,3,3,0.130932,0.436026,0.566959,0.963690,6.466009e-01
0.008,4,1,0.129739,0.435401,0.565140,0.962402,6.470049e-01
0.008,4,2,0.127255,0.434953,0.562208,0.967773,6.472948e-01
0.008,4,3,0.125627,0.434199,0.559826,0.971429,6.477831e-01
0.008,5,1,0.126238,0.433763,0.560001,0.968506,6.480656e-01
0.008,5,2,0.127108,0.433155,0.560263,0.965332,6.484601e-01
0.008,5,3,0.126797,0.432662,0.559459,0.968155,6.487798e-01
0.008,6,1,0.124846,0.432025,0.556871,0.968262,6.491928e-01
0.008,6,2,0.125632,0.431766,0.557398,0.966309,6.493614e-01
0.008,6,3,0.125328,0.430823,0.556151,0.966071,6.499741e-01
0.008,7,1,0.124416,0.430600,0.555015,0.966064,6.501192e-01
0.008,7,2,0.123019,0.429651,0.552670,0.968506,6.507365e-01
0.008,7,3,0.124773,0.429576,0.554350,0.962798,6.507848e-01
0.008,8,1,0.123524,0.428838,0.552361,0.965332,6.512656e-01
0.008,8,2,0.120501,0.428623,0.549124,0.970215,6.514054e-01
0.008,8,3,0.124438,0.427372,0.551810,0.962798,6.522208e-01
0.008,9,1,0.122141,0.427437,0.549578,0.968018,6.521783e-01
0.008,9,2,0.122480,0.426519,0.548999,0.965576,6.527772e-01
0.008,9,3,0.120104,0.425877,0.545981,0.965774,6.531970e-01
0.008,10,1,0.120046,0.425085,0.545132,0.968506,6.537139e-01
0.008,10,2,0.120053,0.425144,0.545197,0.968750,6.536756e-01
0.008,10,3,0.120903,0.424534,0.545437,0.963095,6.540745e-01
0.008,11,1,0.120580,0.423419,0.543998,0.963379,6.548045e-01
0.008,11,2,0.120238,0.423598,0.543836,0.966797,6.546870e-01
0.008,11,3,0.115813,0.422479,0.538292,0.972619,6.554200e-01
0.008,12,1,0.120498,0.421943,0.542441,0.966064,6.557714e-01
0.008,12,2,0.118886,0.421370,0.540256,0.965820,6.561472e-01
0.008,12,3,0.113800,0.421003,0.534803,0.971726,6.563882e-01
0.008,13,1,0.117528,0.420239,0.537767,0.967041,6.568898e-01
0.008,13,2,0.116637,0.419826,0.536463,0.968018,6.571614e-01
0.008,13,3,0.115969,0.419020,0.534989,0.968155,6.576909e-01
0.008,14,1,0.114881,0.418499,0.533381,0.970215,6.580335e-01
0.008,14,2,0.116228,0.417995,0.534224,0.966309,6.583653e-01
0.008,14,3,0.115870,0.417474,0.533344,0.968155,6.587088e-01
0.008,15,1,0.115665,0.416762,0.532427,0.968018,6.591781e-01
0.008,15,2,0.113168,0.416455,0.529623,0.971680,6.593800e-01
0.008,15,3,0.114288,0.415590,0.529878,0.963690,6.599508e-01
0.008,16,1,0.113092,0.415313,0.528405,0.967285,6.601336e-01
0.008,16,2,0.113167,0.414146,0.527313,0.968506,6.609045e-01
0.008,16,3,0.113077,0.414285,0.527362,0.967560,6.608126e-01
0.008,17,1,0.113721,0.413323,0.527044,0.967773,6.614486e-01
0.008,17,2,0.111538,0.412886,0.524424,0.968018,6.617375e-01
0.008,17,3,0.110619,0.412337,0.522956,0.967857,6.621013e-01
0.008,18,1,0.112187,0.411473,0.523660,0.967041,6.626735e-01
0.008,18,2,0.111427,0.411239,0.522667,0.966064,6.628284e-01
0.008,18,3,0.108729,0.410678,0.519407,0.971726,6.632003e-01
0.008,19,1,0.108637,0.409864,0.518502,0.970947,6.637403e-01
0.008,19,2,0.109969,0.409191,0.519160,0.967041,6.641874e-01
0.008,19,3,0.110705,0.409187,0.519891,0.965179,6.641903e-01
0.008,20,1,0.107461,0.408171,0.515632,0.970703,6.648655e-01
0.008,20,2,0.108412,0.407782,0.516193,0.967285,6.651241e-01
0.008,20,3,0.110389,0.406979,0.517368,0.966071,6.656582e-01
0.008,21,1,0.107269,0.406762,0.514031,0.969238,6.658030e-01
0.008,21,2,0.109162,0.405559,0.514721,0.965332,6.666042e-01
0.008,21,3,0.105849,0.405385,0.511233,0.971131,6.667202e-01
0.008,22,1,0.107321,0.404337,0.511658,0.969238,6.674194e-01
0.008,22,2,0.105109,0.404526,0.509635,0.969482,6.672929e-01
0.008,22,3,0.106861,0.403557,0.510418,0.966071,6.679400e-01
0.008,23,1,0.105976,0.403022,0.508999,0.967285,6.682973e-01
0.008,23,2,0.106169,0.402491,0.508660,0.966553,6.686522e-01
0.008,23,3,0.103827,0.401601,0.505428,0.972619,6.692479e-01
0.008,24,1,0.105072,0.401136,0.506208,0.970215,6.695590e-01
0.008,24,2,0.103603,0.400814,0.504417,0.968994,6.697744e-01
0.008,24,3,0.104436,0.399941,0.504377,0.966667,6.703598e-01
0.008,25,1,0.103518,0.399341,0.502859,0.970215,6.707621e-01
