epoch,iter,loss0,reg,loss,acc,srpq,w_value
1,1,0.287281,0.691150,65.946565,1.000000,5.009994e-01,0.002
1,2,0.302508,0.691104,65.957405,1.000000,5.010225e-01,0.002
1,3,0.302940,0.691063,65.953971,1.000000,5.010429e-01,0.002
1,4,0.302492,0.691026,65.949936,1.000000,5.010619e-01,0.002
1,1,0.287280,0.691151,62.490858,1.000000,5.009992e-01,0.002
1,2,0.302595,0.691106,62.502112,1.000000,5.010218e-01,0.002
1,3,0.302758,0.691066,62.498667,1.000000,5.010418e-01,0.002
1,4,0.302310,0.691031,62.495068,1.000000,5.010594e-01,0.002
1,5,0.292221,0.691008,62.482939,1.000000,5.010707e-01,0.002
1,6,0.300612,0.690964,62.487378,1.000000,5.010927e-01,0.002
1,7,0.302923,0.690944,62.487913,1.000000,5.011026e-01,0.002
1,8,0.297239,0.690890,62.477327,1.000000,5.011299e-01,0.002
1,9,0.297490,0.690868,62.475599,1.000000,5.011409e-01,0.002
1,10,0.302577,0.690825,62.476802,1.000000,5.011626e-01,0.002
1,1,0.287267,0.691151,55.579332,1.000000,5.009992e-01,0.002
1,2,0.303647,0.691103,55.591871,1.000000,5.010232e-01,0.002
1,3,0.301437,0.691075,55.587470,1.000000,5.010370e-01,0.002
1,4,0.302203,0.691048,55.586035,1.000000,5.010507e-01,0.002
1,5,0.290732,0.691020,55.572316,1.000000,5.010648e-01,0.002
1,6,0.298041,0.690996,55.577745,1.000000,5.010766e-01,0.002
1,7,0.300258,0.690964,55.577341,1.000000,5.010930e-01,0.002
1,8,0.293625,0.690941,55.568870,1.000000,5.011045e-01,0.002
1,9,0.292719,0.690909,55.565469,1.000000,5.011202e-01,0.002
1,1,0.287271,0.691151,48.667874,1.000000,5.009989e-01,0.002
1,2,0.302695,0.691131,48.681867,1.000000,5.010091e-01,0.002
1,3,0.301496,0.691105,48.678870,1.000000,5.010220e-01,0.002
1,4,0.299754,0.691086,48.675777,1.000000,5.010316e-01,0.002
1,5,0.287721,0.691066,48.662365,1.000000,5.010415e-01,0.002
1,6,0.295386,0.691048,48.668740,1.000000,5.010507e-01,0.002
1,7,0.295269,0.691046,48.668495,1.000000,5.010517e-01,0.002
1,8,0.287321,0.691033,48.659628,1.000000,5.010582e-01,0.002
1,9,0.286980,0.691019,48.658291,1.000000,5.010654e-01,0.002
1,10,0.290368,0.691013,48.661274,1.000000,5.010683e-01,0.002
1,11,0.287327,0.690995,48.656963,1.000000,5.010774e-01,0.002
1,12,0.282019,0.690996,48.651726,1.000000,5.010768e-01,0.002
1,13,0.281573,0.690973,48.649667,1.000000,5.010884e-01,0.002
1,14,0.282298,0.690969,48.650140,1.000000,5.010902e-01,0.002
1,15,0.279321,0.690965,48.646860,1.000000,5.010924e-01,0.002
1,16,0.274549,0.690944,48.640615,1.000000,5.011029e-01,0.002
1,17,0.272987,0.690953,48.639694,1.000000,5.010983e-01,0.002
1,18,0.271887,0.690925,48.636664,1.000000,5.011121e-01,0.002
1,19,0.268153,0.690936,48.633658,1.000000,5.011069e-01,0.002
1,20,0.263259,0.690926,48.628053,1.000000,5.011120e-01,0.002
1,21,0.260274,0.690919,48.624602,1.000000,5.011153e-01,0.002
1,22,0.257440,0.690935,48.622904,1.000000,5.011072e-01,0.002
1,23,0.252615,0.690913,48.616505,1.000000,5.011185e-01,0.002
1,24,0.247242,0.690940,48.613029,1.000000,5.011049e-01,0.002
1,25,0.243026,0.690920,48.607441,1.000000,5.011147e-01,0.002
1,26,0.238570,0.690928,48.603498,1.000000,5.011110e-01,0.002
1,27,0.232276,0.690922,48.596834,1.000000,5.011137e-01,0.002
1,28,0.225835,0.690950,48.592354,1.000000,5.010997e-01,0.002
1,29,0.220087,0.690940,48.585882,1.000000,5.011048e-01,0.002
1,30,0.213300,0.690955,48.580125,1.000000,5.010975e-01,0.002
1,31,0.205249,0.690958,48.572295,1.000000,5.010959e-01,0.002
1,32,0.197504,0.690966,48.565113,1.000000,5.010919e-01,0.002
2,1,0.189502,0.690945,48.555628,1.000000,5.011025e-01,0.002
2,2,0.180046,0.690942,48.545970,1.000000,5.011039e-01,0.002
2,3,0.170306,0.690961,48.537549,1.000000,5.010945e-01,0.002
2,4,0.160448,0.690971,48.528434,1.000000,5.010892e-01,0.002
2,5,0.149312,0.690981,48.517992,1.000000,5.010842e-01,0.002
2,6,0.137628,0.691006,48.508023,1.000000,5.010719e-01,0.002
2,7,0.125923,0.691021,48.497363,1.000000,5.010644e-01,0.002
2,8,0.113375,0.691026,48.485203,1.000000,5.010617e-01,0.002
2,9,0.107810,0.691019,48.479144,1.000000,5.010652e-01,0.002
2,10,0.098068,0.691036,48.470584,1.000000,5.010567e-01,0.002
2,11,0.093720,0.691015,48.464740,1.000000,5.010674e-01,0.002
2,12,0.084127,0.691023,48.455743,1.000000,5.010632e-01,0.002
2,13,0.080627,0.691014,48.451574,1.000000,5.010680e-01,0.002
2,14,0.071398,0.691028,48.443342,1.000000,5.010608e-01,0.002
2,15,0.068420,0.691000,48.438416,1.000000,5.010748e-01,0.002
2,16,0.059958,0.690998,48.429799,1.000000,5.010759e-01,0.002
2,17,0.057185,0.690978,48.425615,1.000000,5.010860e-01,0.002
2,18,0.049261,0.690976,48.417548,1.000000,5.010870e-01,0.002
2,19,0.047639,0.690953,48.414330,1.000000,5.010984e-01,0.002
2,20,0.040158,0.690961,48.407424,1.000000,5.010943e-01,0.002
2,21,0.039553,0.690943,48.405546,1.000000,5.011034e-01,0.002
2,22,0.032621,0.690923,48.397241,1.000000,5.011133e-01,0.002
2,23,0.032575,0.690910,48.396282,1.000000,5.011198e-01,0.002
2,24,0.026365,0.690897,48.389150,1.000000,5.011264e-01,0.002
2,25,0.026974,0.690869,48.387837,1.000000,5.011401e-01,0.002
2,26,0.021518,0.690864,48.382026,1.000000,5.011427e-01,0.002
2,27,0.022800,0.690830,48.380928,1.000000,5.011597e-01,0.002
2,28,0.017646,0.690820,48.375077,1.000000,5.011647e-01,0.002
2,29,0.019508,0.690798,48.375386,1.000000,5.011758e-01,0.002
2,30,0.014789,0.690775,48.369026,1.000000,5.011876e-01,0.002
2,31,0.017189,0.690751,48.369774,1.000000,5.011994e-01,0.002
2,32,0.012909,0.690740,48.364723,1.000000,5.012049e-01,0.002
3,1,0.015720,0.690671,48.362675,1.000000,5.012397e-01,0.002
3,2,0.011758,0.690649,48.357197,1.000000,5.012506e-01,0.002
3,3,0.014750,0.690627,48.358613,1.000000,5.012619e-01,0.002
3,4,0.010942,0.690604,48.353237,1.000000,5.012731e-01,0.002
3,5,0.014160,0.690581,48.354859,1.000000,5.012845e-01,0.002
3,6,0.010439,0.690558,48.349509,1.000000,5.012962e-01,0.002
3,7,0.013732,0.690524,48.350435,1.000000,5.013131e-01,0.002
3,8,0.010004,0.690515,48.346023,1.000000,5.013180e-01,0.002
3,9,0.013331,0.690499,48.348295,1.000000,5.013256e-01,0.002
3,10,0.009658,0.690460,48.341862,1.000000,5.013454e-01,0.002
3,11,0.013049,0.690440,48.343854,1.000000,5.013554e-01,0.002
3,12,0.009405,0.690433,48.339726,1.000000,5.013589e-01,0.002
3,13,0.012805,0.690389,48.340045,1.000000,5.013809e-01,0.002
3,14,0.009141,0.690376,48.335450,1.000000,5.013876e-01,0.002
3,15,0.012572,0.690347,48.336848,1.000000,5.014022e-01,0.002
3,16,0.008921,0.690324,48.331623,1.000000,5.014134e-01,0.002
3,17,0.012381,0.690291,48.332785,1.000000,5.014299e-01,0.002
3,18,0.008741,0.690267,48.327465,1.000000,5.014419e-01,0.002
3,19,0.012211,0.690249,48.329617,1.000000,5.014514e-01,0.002
3,20,0.008564,0.690223,48.324162,1.000000,5.014643e-01,0.002
3,21,0.012041,0.690185,48.324993,1.000000,5.014833e-01,0.002
3,22,0.008401,0.690177,48.320780,1.000000,5.014874e-01,0.002
3,23,0.011894,0.690141,48.321760,1.000000,5.015054e-01,0.002
